Type,Instruction Name,opcode,func3,func7
R,and,110011,111,0
R,add,110011,0,0
R,or,110011,110,0
R,sll,110011,1,0
R,slt,110011,10,0
R,sra,110011,101,100000
R,srl,110011,101,0
R,sub,110011,0,100000
R,xor,110011,100,0
I,andi,10011,111,NA
I,addi,10011,0,NA
I,ori,10011,110,NA
I,lb,11,0,NA
I,lh,11,1,NA
I,lw,11,10,NA
I,jalr,1100111,0,NA
S,sb,100011,0,NA
S,sw,100011,10,NA
S,sh,100011,1,NA
B,beq,1100011,0,NA
B,bne,1100011,1,NA
B,bge,1100011,101,NA
B,blt,1100011,100,NA
U,auipc,10111,NA,NA
U,lui,110111,NA,NA
J,jal,1101111,NA,NA
